,Name,Attribute Vector,Percentiles
71,Vanja Milinković-Savić,"[-0.14, 1.08, 73.5, 0.23, 0.0, 28.9, 49.53, 45.0, 7.53, 70.0, 7.7, 1.84, 16.2]","[23, 79, 62, 5, 23, 54, 98, 77, 68, 99, 83, 92, 75]"
72,Lorenzo Montipò,"[-0.17, 1.59, 68.0, 0.27, 50.0, 13.5, 35.38, 62.9, 7.68, 52.1, 5.2, 1.49, 15.3]","[15, 23, 27, 41, 92, 12, 38, 98, 70, 87, 35, 83, 60]"
73,Florian Müller,"[-0.36, 1.79, 62.1, 0.3, 0.0, 5.3, 40.79, 26.9, 7.0, 36.6, 2.3, 1.47, 18.9]","[8, 10, 8, 81, 23, 1, 77, 22, 49, 28, 2, 82, 97]"
74,Juan Musso,"[-0.14, 1.17, 71.9, 0.23, 0.0, 30.4, 32.28, 32.5, 6.8, 48.6, 5.5, 1.04, 15.6]","[21, 71, 50, 5, 23, 62, 14, 42, 40, 72, 40, 46, 64]"
75,Yvon Mvogo,"[-0.03, 1.44, 71.4, 0.27, 0.0, 15.0, 32.83, 34.0, 7.2, 36.6, 5.5, 0.35, 8.5]","[43, 41, 46, 41, 23, 17, 19, 49, 53, 28, 40, 1, 1]"
76,Keylor Navas,"[-0.17, 1.88, 65.0, 0.32, 0.0, 6.3, 34.02, 56.3, 8.89, 48.1, 4.7, 0.53, 9.2]","[16, 9, 15, 94, 23, 2, 31, 92, 95, 70, 27, 7, 2]"
77,Neto,"[0.06, 1.47, 74.6, 0.26, 0.0, 23.1, 33.77, 47.4, 8.72, 44.6, 6.9, 0.94, 12.1]","[65, 39, 76, 31, 23, 40, 29, 81, 94, 56, 72, 40, 13]"
78,Manuel Neuer,"[0.37, 0.73, 83.0, 0.28, 0.0, 46.7, 43.53, 17.4, 6.07, 24.0, 3.1, 1.53, 19.5]","[99, 98, 99, 58, 23, 97, 88, 4, 26, 2, 9, 86, 98]"
79,Alexander Nübel,"[-0.11, 1.54, 72.3, 0.25, 0.0, 21.7, 32.4, 32.2, 7.24, 44.7, 7.9, 0.98, 13.6]","[27, 29, 56, 22, 23, 35, 16, 41, 56, 57, 87, 44, 35]"
80,Jan Oblak,"[0.07, 0.83, 75.0, 0.28, 0.0, 38.7, 30.22, 39.2, 8.02, 45.8, 7.0, 0.7, 14.3]","[69, 94, 79, 58, 23, 83, 9, 63, 78, 63, 74, 20, 45]"
81,Guillermo Ochoa,"[0.09, 1.65, 71.4, 0.3, 25.0, 20.0, 41.2, 53.6, 10.0, 47.3, 3.5, 0.5, 12.3]","[76, 19, 46, 81, 69, 31, 79, 90, 99, 68, 12, 3, 15]"
82,Jonas Omlin,"[0.02, 1.61, 69.8, 0.29, 16.7, 26.9, 44.82, 25.8, 6.78, 40.8, 6.8, 1.17, 13.6]","[56, 22, 35, 72, 54, 50, 92, 18, 39, 42, 69, 55, 35]"
83,Jonas Omlin,"[0.02, 1.61, 69.8, 0.29, 16.7, 26.9, 44.82, 25.8, 6.78, 40.8, 6.8, 1.17, 13.6]","[56, 22, 35, 72, 54, 50, 92, 18, 39, 42, 69, 55, 35]"
84,André Onana,"[0.13, 0.95, 76.4, 0.25, 0.0, 43.2, 43.81, 28.5, 6.49, 37.2, 6.1, 0.35, 11.7]","[82, 85, 88, 22, 23, 90, 89, 25, 36, 31, 56, 2, 10]"
85,Stefan Ortega,"[0.64, 0.4, 90.5, 0.25, 60.0, 45.8, 13.7, 4.4, 23.3, 6.5, 2.4, 21.8]","[99, 99, 99, 22, 99, 95, 1, 4, 1, 63, 99, 99]"
86,Fernando Pacheco,"[-0.4, 2.06, 66.7, 0.25, 20.0, 17.6, 37.18, 42.4, 8.29, 49.2, 6.6, 1.24, 13.9]","[3, 6, 21, 22, 61, 24, 53, 73, 85, 74, 65, 62, 37]"
87,Fernando Pacheco,"[-0.4, 2.06, 66.7, 0.25, 20.0, 17.6, 37.18, 42.4, 8.29, 49.2, 6.6, 1.24, 13.9]","[3, 6, 21, 22, 61, 24, 53, 73, 85, 74, 65, 62, 37]"
88,Rui Patrício,"[-0.15, 0.9, 72.0, 0.21, 33.3, 38.8, 27.1, 41.3, 7.31, 39.2, 5.2, 0.61, 12.9]","[20, 91, 53, 1, 78, 84, 1, 71, 58, 37, 35, 14, 25]"
89,Jiří Pavlenka,"[-0.22, 1.89, 65.3, 0.29, 33.3, 12.5, 39.61, 40.1, 8.63, 42.9, 4.6, 1.18, 14.9]","[13, 8, 15, 72, 78, 10, 70, 68, 92, 49, 25, 56, 52]"
90,Patrick Pentz,"[-0.16, 2.0, 58.6, 0.34, 0.0, 0.0, 31.57, 44.7, 8.43, 38.7, 7.8, 0.57, 12.2]","[18, 6, 2, 99, 23, 1, 12, 75, 87, 36, 85, 12, 14]"
91,Mattia Perin,"[0.46, 0.84, 83.9, 0.27, 33.3, 58.3, 34.16, 28.4, 5.82, 34.1, 2.2, 0.92, 15.2]","[99, 93, 99, 41, 78, 99, 31, 25, 20, 16, 1, 38, 59]"
92,Samuele Perisan,"[-0.21, 1.29, 62.5, 0.31, 28.6, 34.57, 32.0, 10.71, 34.3, 3.7, 0.57, 11.6]","[13, 55, 10, 89, 53, 33, 41, 99, 18, 13, 12, 8]"
93,Jordan Pickford,"[0.08, 1.54, 71.3, 0.31, 16.7, 21.6, 38.19, 58.1, 8.51, 52.7, 3.9, 1.41, 16.2]","[72, 30, 45, 89, 54, 33, 56, 95, 89, 88, 16, 77, 75]"
94,Nick Pope,"[0.02, 0.88, 74.6, 0.24, 50.0, 38.9, 26.88, 33.1, 5.71, 50.7, 8.3, 2.04, 18.2]","[59, 92, 76, 12, 92, 85, 1, 45, 19, 81, 92, 96, 93]"
95,Ivan Provedel,"[0.03, 0.93, 75.6, 0.25, 25.0, 51.2, 38.09, 27.2, 5.58, 33.0, 4.4, 1.62, 16.9]","[62, 88, 83, 22, 69, 99, 55, 23, 16, 11, 21, 88, 88]"
96,Ionuț Radu,"[0.19, 1.5, 73.9, 0.28, 40.0, 23.1, 38.31, 48.6, 7.5, 50.8, 5.3, 0.85, 13.4]","[92, 37, 69, 58, 83, 40, 58, 82, 65, 82, 37, 34, 31]"
97,Ionuț Radu,"[0.19, 1.5, 73.9, 0.28, 40.0, 23.1, 38.31, 48.6, 7.5, 50.8, 5.3, 0.85, 13.4]","[92, 37, 69, 58, 83, 40, 58, 82, 65, 82, 37, 34, 31]"
98,Predrag Rajković,"[-0.02, 1.11, 74.4, 0.25, 14.3, 33.3, 35.67, 61.8, 8.58, 54.0, 5.3, 0.53, 11.7]","[45, 74, 73, 22, 51, 72, 43, 97, 91, 91, 37, 6, 10]"
99,Aaron Ramsdale,"[-0.05, 1.12, 70.3, 0.28, 0.0, 36.6, 31.62, 36.2, 4.2, 51.0, 5.9, 1.22, 16.2]","[38, 72, 38, 58, 23, 80, 12, 55, 2, 83, 50, 61, 75]"
100,Nicola Ravaglia,"[-0.57, 2.56, 67.2, 0.26, 0.0, 0.0, 40.33, 42.5, 11.0, 37.6, 6.5, 0.11, 10.5]","[1, 1, 24, 31, 23, 1, 73, 74, 99, 35, 63, 1, 4]"
101,David Raya,"[0.13, 1.21, 77.7, 0.24, 0.0, 31.6, 45.32, 50.7, 7.08, 51.8, 8.7, 1.42, 15.8]","[80, 66, 92, 12, 23, 66, 94, 85, 50, 85, 93, 80, 68]"
102,Pepe Reina,"[0.13, 1.23, 73.6, 0.29, 0.0, 22.7, 40.91, 22.1, 5.36, 35.7, 4.8, 0.91, 14.6]","[81, 63, 64, 72, 23, 38, 78, 14, 11, 23, 29, 37, 49]"
103,Álex Remiro,"[0.03, 0.85, 73.8, 0.25, 50.0, 43.5, 35.93, 38.4, 5.33, 50.0, 3.7, 1.24, 16.4]","[62, 92, 67, 22, 92, 92, 46, 60, 10, 78, 13, 64, 81]"
104,Manuel Riemann,"[0.0, 2.12, 68.0, 0.3, 27.3, 14.7, 55.26, 66.8, 7.68, 50.6, 5.8, 3.56, 22.2]","[50, 4, 27, 81, 72, 15, 99, 99, 71, 80, 46, 99, 99]"
105,Rémy Riou,"[0.27, 1.2, 83.3, 0.2, 0.0, 16.7, 36.09, 22.5, 7.04, 26.0, 7.7, 1.5, 17.2]","[98, 67, 99, 1, 23, 21, 47, 14, 50, 4, 83, 83, 90]"
106,Gerónimo Rulli,"[-0.15, 1.05, 70.3, 0.26, 0.0, 36.8, 48.05, 17.9, 4.37, 33.0, 16.5, 1.74, 16.6]","[14, 75, 39, 29, 28, 79, 98, 2, 2, 6, 99, 92, 88]"
107,Frederik Rønnow,"[0.21, 0.94, 78.9, 0.27, 0.0, 39.5, 43.87, 43.5, 5.61, 49.8, 10.2, 1.12, 14.5]","[93, 87, 95, 41, 23, 87, 90, 75, 17, 77, 98, 52, 46]"
108,José Sá,"[-0.16, 1.53, 67.1, 0.28, 50.0, 30.6, 35.47, 29.3, 7.22, 46.2, 8.0, 0.78, 12.6]","[18, 33, 23, 58, 92, 64, 40, 27, 55, 64, 89, 28, 20]"
109,Brice Samba,"[0.15, 0.76, 80.0, 0.24, 0.0, 40.5, 35.32, 35.5, 4.32, 32.7, 8.9, 1.11, 15.4]","[85, 97, 98, 12, 23, 89, 37, 54, 4, 9, 94, 51, 62]"
110,Robert Sánchez,"[-0.12, 1.3, 66.2, 0.25, 16.7, 26.1, 35.91, 24.2, 5.7, 35.1, 7.4, 0.57, 12.3]","[26, 54, 20, 22, 54, 46, 46, 15, 18, 21, 81, 11, 15]"
111,Kasper Schmeichel,"[0.03, 0.97, 77.3, 0.23, 25.0, 30.6, 34.94, 30.7, 7.72, 35.7, 5.3, 0.64, 12.9]","[60, 84, 90, 5, 69, 64, 34, 36, 73, 23, 37, 15, 25]"
