,Name,Attribute Vector,Percentiles
47,Leandro Barreiro Martins,"[0.17, 0.16, 1.35, 0.13, 0.09, 0.26, 1.98, 23.41, 68.0, 2.27, 0.71, 0.21, 2.44, 2.06, 2.52, 1.72, 1.6, 1.64, 1.64]","[84, 87, 73, 71, 56, 76, 34, 1, 3, 3, 20, 5, 86, 51, 75, 94, 84, 86, 85]"
48,Ander Barrenetxea,"[0.3, 0.3, 1.82, 0.1, 0.12, 0.42, 2.83, 38.59, 76.4, 2.83, 3.74, 3.54, 4.14, 7.27, 2.12, 0.51, 1.62, 0.71, 1.31]","[99, 99, 89, 60, 69, 97, 68, 21, 17, 6, 98, 99, 99, 98, 54, 10, 84, 24, 77]"
49,Mickaël Barreto,"[0.07, 0.06, 1.29, 0.07, 0.13, 0.19, 2.04, 47.21, 69.2, 5.91, 1.77, 1.56, 0.61, 3.6, 2.17, 1.22, 1.15, 0.75, 0.61]","[52, 41, 70, 43, 74, 58, 36, 44, 4, 69, 71, 90, 28, 79, 56, 65, 43, 29, 33]"
50,Pablo Barrios,"[0.0, 0.06, 1.48, 0.12, 0.09, 0.15, 2.59, 56.34, 82.1, 6.41, 2.1, 1.97, 1.48, 3.33, 2.34, 1.11, 1.48, 0.74, 0.74]","[12, 42, 80, 70, 51, 44, 59, 69, 50, 77, 79, 96, 61, 74, 67, 57, 77, 29, 45]"
51,Toma Bašić,"[0.13, 0.27, 1.9, 0.0, 0.08, 0.33, 2.53, 48.54, 74.5, 3.54, 2.78, 0.63, 3.03, 5.18, 1.26, 1.01, 1.39, 1.14, 1.9]","[73, 99, 90, 8, 43, 89, 57, 48, 11, 19, 89, 41, 94, 93, 8, 48, 71, 56, 89]"
52,Simone Bastoni,"[0.15, 0.08, 1.67, 0.3, 0.13, 0.21, 2.27, 45.11, 61.6, 2.42, 1.51, 0.53, 1.82, 4.92, 3.56, 0.61, 1.51, 1.06, 0.91]","[79, 58, 86, 99, 73, 65, 48, 39, 1, 4, 61, 33, 73, 91, 97, 15, 79, 51, 54]"
53,Rodrigo Battaglia,"[0.0, 0.03, 0.71, 0.09, 0.04, 0.06, 0.97, 56.94, 85.1, 4.41, 2.03, 0.62, 1.23, 1.23, 2.03, 0.79, 1.06, 1.23, 3.44]","[13, 17, 33, 60, 19, 13, 1, 74, 75, 36, 81, 42, 63, 34, 49, 24, 37, 61, 99]"
54,Julian Baumgartlinger,"[0.0, 0.05, 0.49, 0.0, 0.02, 0.07, 1.3, 37.04, 82.9, 4.06, 0.16, 0.16, 0.49, 0.49, 2.44, 0.65, 0.65, 2.44, 1.14]","[12, 30, 14, 8, 2, 11, 8, 19, 55, 31, 1, 3, 16, 5, 72, 18, 3, 98, 67]"
55,Cyrille Bayala,"[0.04, 0.09, 0.99, 0.04, 0.09, 0.18, 1.93, 29.3, 61.0, 2.96, 2.06, 1.12, 2.02, 4.88, 2.37, 1.12, 0.9, 0.94, 1.84]","[38, 63, 46, 29, 55, 57, 31, 4, 1, 8, 78, 74, 77, 91, 70, 58, 19, 45, 87]"
56,Alexis Beka Beka,"[0.0, 0.08, 1.49, 0.0, 0.02, 0.08, 1.49, 50.04, 77.9, 4.13, 2.15, 1.32, 0.83, 3.8, 2.64, 1.98, 1.49, 0.99, 0.5]","[12, 57, 80, 8, 2, 17, 13, 52, 24, 32, 80, 82, 36, 80, 79, 99, 78, 47, 24]"
